Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR2979358,2016-07-22 17:04:23,2016-01-22 20:26:41,9873848,503566248,0,51,325,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979358/SRR2979358.1,SRX1468948,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193669,SAMN04323053,simple,9606,Homo sapiens,GSM1966666,,,,,,,no,,,,,GEO,SRA315327,,public,36F9AFA5ECF755744449DF261ADE3600,0DB5922F87B9A738D1FDEB6DF60AC3C6
SRR2979359,2016-07-22 17:04:23,2016-01-22 20:26:03,2240038,114241938,0,51,83,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979359/SRR2979359.1,SRX1468949,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193668,SAMN04323054,simple,9606,Homo sapiens,GSM1966667,,,,,,,no,,,,,GEO,SRA315327,,public,824FAA863B54B3801E5D6D9E004EC420,127EC3B25278E74D8FF48909FA808F5E
SRR2979360,2016-07-22 17:04:23,2016-01-22 20:26:51,8876979,452725929,0,51,299,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979360/SRR2979360.1,SRX1468950,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193667,SAMN04323055,simple,9606,Homo sapiens,GSM1966668,,,,,,,no,,,,,GEO,SRA315327,,public,587C67A3E8EB1020B7FDB0B78EC0746B,AE3C789C913D744810371FAEF9F6ED0D
SRR2979361,2016-07-22 17:04:23,2016-01-22 20:26:19,5127131,261483681,0,51,188,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979361/SRR2979361.1,SRX1468951,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193665,SAMN04323056,simple,9606,Homo sapiens,GSM1966669,,,,,,,no,,,,,GEO,SRA315327,,public,837095CB142550D2048C481CF7244FB6,33E3039BADF0C3D5EEB3C91C219A90FA
SRR2979362,2016-07-22 17:04:23,2016-01-22 20:26:50,11002517,561128367,0,51,360,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979362/SRR2979362.1,SRX1468952,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193666,SAMN04323057,simple,9606,Homo sapiens,GSM1966670,,,,,,,no,,,,,GEO,SRA315327,,public,8F09DDF933C1917A9E302E3AE925D7A8,C7D02AE79074C19134C44AD14A44FA93
SRR2979363,2016-07-22 17:04:23,2016-01-22 20:25:13,2822779,143961729,0,51,86,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979363/SRR2979363.1,SRX1468953,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193664,SAMN04323058,simple,9606,Homo sapiens,GSM1966671,,,,,,,no,,,,,GEO,SRA315327,,public,E7F26A31BBE2CB8B323DC41985E3F2A5,69CA4DA6F1195FE4C1C2B13EB324FB8E
SRR2979364,2016-07-22 17:04:23,2016-01-22 20:25:16,775242,39537342,0,51,23,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979364/SRR2979364.1,SRX1468954,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193663,SAMN04323059,simple,9606,Homo sapiens,GSM1966672,,,,,,,no,,,,,GEO,SRA315327,,public,DB1FB58D7D0126BF56ACC34E08C299E8,8A14CC4A934F78D4BD3169FBB4E2F9F4
SRR2979365,2016-07-22 17:04:23,2016-01-22 20:25:06,2888108,147293508,0,51,94,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979365/SRR2979365.1,SRX1468955,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193662,SAMN04323060,simple,9606,Homo sapiens,GSM1966673,,,,,,,no,,,,,GEO,SRA315327,,public,485E5F11CB6C894EE9D7BD3D3B497C28,AABA89C5CA5B8D5BF8D6A98DA0AD509A
SRR2979366,2016-07-22 17:04:23,2015-12-07 15:39:56,3881534,197958234,0,51,123,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2979366/SRR2979366.1,SRX1468956,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193661,SAMN04323061,simple,9606,Homo sapiens,GSM1966674,,,,,,,no,,,,,GEO,SRA315327,,public,1F98468CEEDC212EE926BB94B671FFF4,D978476D54756A35B48263E4E39486B8
SRR2979367,2016-07-22 17:04:23,2016-01-22 20:24:57,1035785,52825035,0,51,34,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979367/SRR2979367.1,SRX1468957,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193660,SAMN04323062,simple,9606,Homo sapiens,GSM1966675,,,,,,,no,,,,,GEO,SRA315327,,public,4BF788DAF9CBA6CEE634F984E242E84E,3284C059B0FCAAAF14E230F788BC22F1
SRR2979368,2016-07-22 17:04:23,2016-01-22 20:25:29,6565848,334858248,0,51,210,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979368/SRR2979368.1,SRX1468958,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193659,SAMN04323063,simple,9606,Homo sapiens,GSM1966676,,,,,,,no,,,,,GEO,SRA315327,,public,FDE34D8EC41C544EE7AE6AB014A27D9B,5EEE149A0080F0A68739A8F84B7B5A65
SRR2979369,2016-07-22 17:04:23,2016-01-22 20:25:19,5188778,264627678,0,51,173,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979369/SRR2979369.1,SRX1468959,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193658,SAMN04322981,simple,9606,Homo sapiens,GSM1966677,,,,,,,no,,,,,GEO,SRA315327,,public,06122BE8C9CD35BD765822CC9F9B4586,3D9AED9E8AD7491CC8EDEABB3C7E148F
SRR2979370,2016-07-22 17:04:23,2016-01-22 20:29:39,9105837,464397687,0,51,297,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979370/SRR2979370.1,SRX1468960,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193657,SAMN04322974,simple,9606,Homo sapiens,GSM1966678,,,,,,,no,,,,,GEO,SRA315327,,public,CC4A63C4549202DB9C38936FD39B0A4E,23BEE43ECA86546FA12F56614DD12A6F
SRR2979371,2016-07-22 17:04:23,2016-01-22 20:25:19,5330342,271847442,0,51,192,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979371/SRR2979371.1,SRX1468961,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193655,SAMN04322975,simple,9606,Homo sapiens,GSM1966679,,,,,,,no,,,,,GEO,SRA315327,,public,A3796AEFCC664432751932E9E26099E0,4C461C4B9CA19C1EFACB7E4D70204273
SRR2979372,2016-07-22 17:04:23,2016-01-22 20:25:11,3542098,180646998,0,51,116,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979372/SRR2979372.1,SRX1468962,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193656,SAMN04322976,simple,9606,Homo sapiens,GSM1966680,,,,,,,no,,,,,GEO,SRA315327,,public,215014396A24528346E1ED1174AC4740,3B09E135EBC26BD2914076C2D6D0B917
SRR2979373,2016-07-22 17:04:23,2016-01-22 20:25:21,5713750,291401250,0,51,173,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979373/SRR2979373.1,SRX1468963,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193654,SAMN04322977,simple,9606,Homo sapiens,GSM1966681,,,,,,,no,,,,,GEO,SRA315327,,public,3C4BBBCF8F729D81790BF92290197930,EAD2EE6CA393B7E63A38D129ECFCC69D
SRR2979374,2016-07-22 17:04:23,2016-01-22 20:25:01,1998714,101934414,0,51,58,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979374/SRR2979374.1,SRX1468964,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193653,SAMN04322978,simple,9606,Homo sapiens,GSM1966682,,,,,,,no,,,,,GEO,SRA315327,,public,54485CAFBA628737351511749DC75E0E,4D05BABC5E37B0F4F3C92CD7049B6779
SRR2979375,2016-07-22 17:04:23,2016-01-22 20:25:37,6291660,320874660,0,51,213,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979375/SRR2979375.1,SRX1468965,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193652,SAMN04322979,simple,9606,Homo sapiens,GSM1966683,,,,,,,no,,,,,GEO,SRA315327,,public,C4C5F8982549A108F6CA0FA9815ABE63,DDFA36DAA05D43E1412D5FE0B887AF6D
SRR2979376,2016-07-22 17:04:23,2016-01-22 20:25:34,7083186,361242486,0,51,225,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979376/SRR2979376.1,SRX1468966,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193651,SAMN04322980,simple,9606,Homo sapiens,GSM1966684,,,,,,,no,,,,,GEO,SRA315327,,public,183EAE5CC3A84E8582818C4A93CB98B7,FBB77F67D5D6975E974DC6C370CE1F55
SRR2979377,2016-07-22 17:04:23,2016-01-22 20:25:22,4885574,249164274,0,51,167,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979377/SRR2979377.1,SRX1468967,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193650,SAMN04322982,simple,9606,Homo sapiens,GSM1966685,,,,,,,no,,,,,GEO,SRA315327,,public,357EB9E214E360113555E718B58ADBF1,CBFC71F1B9553D8D3B8A59E2B771928C
SRR2979378,2016-07-22 17:04:23,2016-01-22 20:25:30,6436212,328246812,0,51,188,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979378/SRR2979378.1,SRX1468968,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193649,SAMN04322983,simple,9606,Homo sapiens,GSM1966686,,,,,,,no,,,,,GEO,SRA315327,,public,9A2FD9B3A6E4B0D08EDFAC5A4C8AC618,A0B33783A568C3604B33B04C694FE449
SRR2979379,2016-07-22 17:04:23,2016-01-22 20:25:06,3178608,162109008,0,51,92,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979379/SRR2979379.1,SRX1468969,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193648,SAMN04322984,simple,9606,Homo sapiens,GSM1966687,,,,,,,no,,,,,GEO,SRA315327,,public,8E33FA4A82F83C4ECC9C65A0C82448D8,AB0B81BB1BFFCEC06A541E33CF8A3043
SRR2979380,2016-07-22 17:04:23,2016-01-22 20:25:43,8974500,457699500,0,51,284,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979380/SRR2979380.1,SRX1468970,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193647,SAMN04322985,simple,9606,Homo sapiens,GSM1966688,,,,,,,no,,,,,GEO,SRA315327,,public,B533D218BF3C461DF8B379A0F97E740A,2CBDE03790E67E93732E7061F4CEFCD6
SRR2979381,2016-07-22 17:04:23,2016-01-22 20:25:31,6582953,335730603,0,51,191,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR2979381/SRR2979381.1,SRX1468971,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193646,SAMN04322986,simple,9606,Homo sapiens,GSM1966689,,,,,,,no,,,,,GEO,SRA315327,,public,97EB481AFAC36ACDB72337512D11B9E0,09AD5D665FF5F1B853907448068D3D3E
SRR2979382,2016-07-22 17:04:23,2016-01-22 20:25:44,11961875,610055625,0,51,377,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979382/SRR2979382.1,SRX1468972,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193645,SAMN04322987,simple,9606,Homo sapiens,GSM1966690,,,,,,,no,,,,,GEO,SRA315327,,public,6AC5DE171DDE40CBB9CC864D709F4464,9ACB7459C59EEB900F319073BBB102C5
SRR2979383,2016-07-22 17:04:23,2016-01-22 20:27:40,9349017,476799867,0,51,303,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2979383/SRR2979383.1,SRX1468973,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP067036,PRJNA305280,2,305280,SRS1193644,SAMN04322988,simple,9606,Homo sapiens,GSM1966691,,,,,,,no,,,,,GEO,SRA315327,,public,3C983DDD7D3807A513C0F2DEFDA559BA,7ECD80A24A9F4FAFC7135791385E84E2
