"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX1469020","GSM1966737: single cell H1 hESC cell [H1_Exp3.281]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193597","","389.43","1","12335276","629099076","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469019","GSM1966736: single cell H1 hESC cell [H1_Exp3.280]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193595","","239.63","1","8262915","421408665","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469018","GSM1966735: single cell H1 hESC cell [H1_Exp3.279]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193598","","380.98","1","12063489","615237939","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469017","GSM1966734: single cell H1 hESC cell [H1_Exp3.278]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193599","","47.41","1","1595603","81375753","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469016","GSM1966733: single cell H1 hESC cell [H1_Exp3.277]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193602","","205.09","1","7017895","357912645","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469015","GSM1966732: single cell H1 hESC cell [H1_Exp3.276]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193600","","382.59","1","12669454","646142154","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469014","GSM1966731: single cell H1 hESC cell [H1_Exp3.275]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193601","","248.22","1","8196653","418029303","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469013","GSM1966730: single cell H1 hESC cell [H1_Exp3.274]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193603","","268.38","1","8846569","451175019","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469012","GSM1966729: single cell H1 hESC cell [H1_Exp3.273]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193604","","199.96","1","6801483","346875633","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469011","GSM1966728: single cell H1 hESC cell [H1_Exp3.272]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193605","","205.49","1","6926728","353263128","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469010","GSM1966727: single cell H1 hESC cell [H1_Exp3.271]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193606","","281.75","1","9565696","487850496","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469009","GSM1966726: single cell H1 hESC cell [H1_Exp3.270]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193607","","371.04","1","11739927","598736277","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469008","GSM1966725: single cell H1 hESC cell [H1_Exp3.269]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193609","","387.95","1","12223542","623400642","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469007","GSM1966724: single cell H1 hESC cell [H1_Exp3.268]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193608","","262.4","1","8792258","448405158","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469006","GSM1966723: single cell H1 hESC cell [H1_Exp3.267]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193610","","413.72","1","13136376","669955176","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469005","GSM1966722: single cell H1 hESC cell [H1_Exp3.266]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193611","","148.67","1","5023208","256183608","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469004","GSM1966721: single cell H1 hESC cell [H1_Exp3.265]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193615","","234.07","1","8041072","410094672","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469003","GSM1966720: single cell H1 hESC cell [H1_Exp3.264]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193614","","318.23","1","10578062","539481162","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469002","GSM1966719: single cell H1 hESC cell [H1_Exp3.263]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193613","","295.93","1","9815366","500583666","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469001","GSM1966718: single cell H1 hESC cell [H1_Exp3.262]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193616","","312.89","1","10359589","528339039","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1469000","GSM1966717: single cell H1 hESC cell [H1_Exp3.261]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193618","","193.87","1","6621905","337717155","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468999","GSM1966716: single cell H1 hESC cell [H1_Exp3.260]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193617","","203.09","1","6896346","351713646","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468998","GSM1966715: single cell H1 hESC cell [H1_Exp3.259]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193619","","190.51","1","6456196","329265996","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468996","GSM1966714: single cell H1 hESC cell [H1_Exp3.258]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193621","","214.11","1","6769034","345220734","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468995","GSM1966713: single cell H1 hESC cell [H1_Exp3.257]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193622","","293.04","1","9286244","473598444","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468994","GSM1966712: single cell H1 hESC cell [H1_Exp3.256]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193623","","192.85","1","6660564","339688764","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468993","GSM1966711: single cell H1 hESC cell [H1_Exp3.255]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193624","","286.76","1","9149987","466649337","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468992","GSM1966710: single cell H1 hESC cell [H1_Exp3.254]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193626","","124.02","1","4287216","218648016","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468991","GSM1966709: single cell H1 hESC cell [H1_Exp3.253]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193625","","127.67","1","4359439","222331389","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468990","GSM1966708: single cell H1 hESC cell [H1_Exp3.252]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193627","","403.3","1","13163045","671315295","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468989","GSM1966707: single cell H1 hESC cell [H1_Exp3.251]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193628","","349.41","1","11536472","588360072","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468988","GSM1966706: single cell H1 hESC cell [H1_Exp3.250]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193629","","316.4","1","9982536","509109336","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468987","GSM1966705: single cell H1 hESC cell [H1_Exp3.249]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193630","","169.2","1","5765193","294024843","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468986","GSM1966704: single cell H1 hESC cell [H1_Exp3.248]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193631","","241.23","1","8159991","416159541","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468985","GSM1966703: single cell H1 hESC cell [H1_Exp3.247]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193632","","292.28","1","9940487","506964837","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468984","GSM1966702: single cell H1 hESC cell [H1_Exp3.246]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193633","","351.16","1","11031061","562584111","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468983","GSM1966701: single cell H1 hESC cell [H1_Exp3.244]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193634","","234.02","1","8038103","409943253","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468982","GSM1966700: single cell H1 hESC cell [H1_Exp3.243]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193635","","393.05","1","12504276","637718076","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468981","GSM1966699: single cell H1 hESC cell [H1_Exp3.242]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193636","","52.11","1","1724240","87936240","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468980","GSM1966698: single cell H1 hESC cell [H1_Exp3.241]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193637","","155.38","1","5306960","270654960","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468979","GSM1966697: single cell H1 hESC cell [H1_Exp3.240]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193638","","281.71","1","9177892","468072492","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468978","GSM1966696: single cell H1 hESC cell [H1_Exp3.239]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193639","","211.68","1","6349544","323826744","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468977","GSM1966695: single cell H1 hESC cell [H1_Exp3.238]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193640","","243.72","1","7066860","360409860","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468976","GSM1966694: single cell H1 hESC cell [H1_Exp3.237]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193641","","159.17","1","5444193","277653843","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468975","GSM1966693: single cell H1 hESC cell [H1_Exp3.236]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193642","","160.77","1","5062504","258187704","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468974","GSM1966692: single cell H1 hESC cell [H1_Exp3.235]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193643","","262.02","1","8891178","453450078","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468973","GSM1966691: single cell H1 hESC cell [H1_Exp3.234]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193644","","303.58","1","9349017","476799867","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468972","GSM1966690: single cell H1 hESC cell [H1_Exp3.233]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193645","","377.08","1","11961875","610055625","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468971","GSM1966689: single cell H1 hESC cell [H1_Exp3.232]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193646","","191.37","1","6582953","335730603","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468970","GSM1966688: single cell H1 hESC cell [H1_Exp3.231]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193647","","284.89","1","8974500","457699500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468969","GSM1966687: single cell H1 hESC cell [H1_Exp3.230]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193648","","92.78","1","3178608","162109008","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468968","GSM1966686: single cell H1 hESC cell [H1_Exp3.229]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193649","","188.13","1","6436212","328246812","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468967","GSM1966685: single cell H1 hESC cell [H1_Exp3.228]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193650","","167.46","1","4885574","249164274","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468966","GSM1966684: single cell H1 hESC cell [H1_Exp3.227]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193651","","225.61","1","7083186","361242486","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468965","GSM1966683: single cell H1 hESC cell [H1_Exp3.226]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193652","","213.28","1","6291660","320874660","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468964","GSM1966682: single cell H1 hESC cell [H1_Exp3.225]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193653","","58.65","1","1998714","101934414","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468963","GSM1966681: single cell H1 hESC cell [H1_Exp3.224]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193654","","173.85","1","5713750","291401250","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468962","GSM1966680: single cell H1 hESC cell [H1_Exp3.223]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193656","","116.5","1","3542098","180646998","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468961","GSM1966679: single cell H1 hESC cell [H1_Exp3.222]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193655","","192.11","1","5330342","271847442","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468960","GSM1966678: single cell H1 hESC cell [H1_Exp3.221]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193657","","297.81","1","9105837","464397687","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468959","GSM1966677: single cell H1 hESC cell [H1_Exp3.220]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193658","","173.98","1","5188778","264627678","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468958","GSM1966676: single cell H1 hESC cell [H1_Exp3.219]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193659","","210.11","1","6565848","334858248","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468957","GSM1966675: single cell H1 hESC cell [H1_Exp3.218]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193660","","34.73","1","1035785","52825035","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1468956","GSM1966674: single cell H1 hESC cell [H1_Exp3.217]; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP067036","Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors","SRS1193661","","123","1","3881534","197958234","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
